,Removed_Feature,MSE_Mean,MSE_Std,R2_Mean,R2_Std
0,0,62.942549051436615,30.34639346041135,0.8016187277968039,0.05341253192854125
1,1,69.7399805503245,27.141207381601816,0.7798332828294481,0.039798293232122445
2,2,64.98262451100246,32.754745932426914,0.7977563419247818,0.053982894364573604
3,3,71.39944211447025,30.944151900894603,0.7740302989370935,0.04630954460043263
4,4,69.5007010060876,33.16408271282455,0.7853580112477474,0.0508346706925009
5,5,75.38792402534641,32.316783765910486,0.7640258899065241,0.043932201049221936
6,6,69.18918742183537,31.11807755865339,0.7839715173271871,0.04826585643763227
7,7,71.54356239356397,31.74006308368663,0.7754959476675065,0.04694782608711534
8,8,72.62463072029838,31.054746296418678,0.772911833787781,0.04288859889004558
9,9,75.17299193020217,36.762171649240216,0.7677789434117945,0.05901716447688764
10,10,76.7482845764936,32.39641177084873,0.7587235897179808,0.04335150472101805
